Entity,Year,Average annual working hours per worker,Average years of schooling,Gini coefficient,990179-annotations,"GDP per capita, PPP (constant 2021 international $)",Gender Development Index,Human Development Index,Life expectancy - Sex: total - Age: 0 - Type: period,"Crude marriage rate (marriages per 1,000 people)",Urban population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Denmark,2016,1408.9635,13.16282,0.28187442,,63868.758,0.979,0.943,80.8814,5.4,87.642,5.989
Denmark,2017,1400.3815,13.011765,0.28746662,,65398.793,0.981,0.944,81.1116,5.5,87.757,5.833
Estonia,2010,1874.7017,13.33069,0.31999895,,30936.557,1.037,0.864,75.8816,3.8,68.094,16.707
Estonia,2011,1918.863,13.3991,0.3248852,,33391.11,1.033,0.873,76.3462,4.1,67.965,12.328
Estonia,2012,1885.6866,13.44874,0.329136,,34741.37,1.022,0.876,76.4159,4.5,67.974,10.021
Estonia,2013,1865.8429,13.53935,0.35075676,,35477.637,1.014,0.881,77.252,4.3,68.122,8.631
Estonia,2014,1859.4319,13.44295,0.3458795,,36752.746,1.019,0.879,77.1104,4.7,68.269,7.352
Estonia,2015,1851.6166,13.48861,0.3266799,,37403.79,1.022,0.883,77.665,5.2,68.416,6.412
Estonia,2016,1855.1993,13.51035,0.3119477,,38549.473,1.02,0.884,77.7631,4.8,68.563,6.882
Estonia,2017,1856.6827,13.55548,0.30354318,,40672.336,1.023,0.886,78.1814,4.9,68.717,5.807
Finland,2010,1667.7671,12.41568,0.2771396,,54520.086,1.003,0.912,80.0116,5.6,83.77,8.394
Finland,2011,1662.4528,12.45692,0.27642646,,55565.156,1.003,0.916,80.3916,5.3,84.313,7.781
Finland,2012,1650.2601,12.48784,0.27096376,,54459.246,1.0,0.916,80.5076,5.3,84.841,7.689
Finland,2013,1639.5857,12.54921,0.27193668,,53677.812,0.988,0.926,80.869,4.6,85.125,8.193
Finland,2014,1636.3311,12.59953,0.26776803,,53200.723,0.989,0.928,81.0546,4.5,85.175,8.663
Finland,2015,1637.1949,12.63367,0.2710181,,53273.14,0.989,0.93,81.3775,4.5,85.225,9.376
Finland,2016,1634.7594,12.686525,0.27078423,,54486.46,0.99,0.931,81.3029,4.5,85.275,8.818
Finland,2017,1659.2806,12.73938,0.2738283,,56154.418,0.99,0.934,81.4967,4.8,85.325,8.64
